Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 122 absolute mad lads ;9451;   2 : 1   ; Final Feature null ;9962;Вторая команда;Гипотеза не верна
 121 LiviD ;15701;   2 : 1   ; Crystal Vision null ;3744;Первая команда;Гипотеза не верна
 136 Team Reapers ;67785; отменен                                     ; Furious 96 ;9757;Первая команда;Гипотеза не верна
 133 Red Canids ;93254;   1 : 2   ; paiN 84 ;270272;Первая команда;Гипотеза верна
 133 Red Canids ;15515;   10 : 16   ; INTZ.Academy 141 ;5245;Вторая команда;Гипотеза верна
 86 EOX ;24667;   14 : 16   ; Redemption POA 138 ;11400;Вторая команда;Гипотеза не верна
 140 Santos ;9548;   7 : 16   ; W7M 127 ;36267;Вторая команда;Гипотеза верна
 84 paiN ;42214;   14 : 16   ; Isurus 73 ;58216;Вторая команда;Гипотеза верна
 52 DreamEaters ;52380;   2 : 1   ; HAVU 48 ;121486;Первая команда;Гипотеза верна
 11 CR4ZY ;933594;   1 : 2   ; G2 10 ;556646;Вторая команда;Гипотеза верна
 72 PACT ;85199;   2 : 0   ; Ambush null ;30267;Первая команда;Гипотеза не верна
 85 Fierce ;19975;   2 : 1   ; Nordavind 57 ;112234;Первая команда;Гипотеза верна
 51 Vega ;161871;   2 : 1   ; Copenhagen Flames 68 ;228265;Вторая команда;Гипотеза не верна
 10 G2 ;610447;   2 : 1   ; Tricked 32 ;141077;Первая команда;Гипотеза верна
 21 Sprout ;201549;   0 : 2   ; CR4ZY 11 ;503420;Первая команда;Гипотеза верна
 48 HAVU ;152900;   2 : 1   ; SJ Gaming 62 ;226730;Первая команда;Гипотеза не верна
 77 Gambit Youngsters ;290281;   2 : 0   ; buaksib null ;75020;Первая команда;Гипотеза верна
 87 Genuine ;30753;   2 : 0   ; rewound 111 ;15444;Первая команда;Гипотеза верна
 10 G2 ;178314;   2 : 0   ; BlueJays null ;11895;Вторая команда;Гипотеза верна
 32 Tricked ;231745;   2 : 0   ; BIG 24 ;489842;Первая команда;Гипотеза верна
 5 mousesports ;413242;   1 : 2   ; CR4ZY 11 ;101293;Первая команда;Гипотеза верна
 21 Sprout ;37451; отменен                                     ; Vitality 4 ;232454;Вторая команда;Гипотеза верна
 38 Chiefs ;178011;   2 : 1   ; Ground Zero 67 ;32333;Первая команда;Гипотеза не верна
 null Anunnaki ;98958;   2 : 0   ; Divine Soldiers null ;41814;Первая команда;Гипотеза верна
 73 Isurus ;231637;   16 : 8   ; Bulldozer 139 ;44372;Первая команда;Гипотеза верна
 141 INTZ.Academy ;32912;   5 : 16   ; Isurus 73 ;123378;Первая команда;Гипотеза не верна
 null BlueJays ;73964;   1 : 2   ; Lyngby Vikings 83 ;32863;Вторая команда;Гипотеза не верна
 72 PACT ;116170;   2 : 0   ; Syman 59 ;178351;Первая команда;Гипотеза не верна
 null Defusekids ;5374;   0 : 2   ; Nemiga 42 ;48931;Вторая команда;Гипотеза верна
 32 Tricked ;152535;   2 : 1   ; The Final Tribe null ;14379;Вторая команда;Гипотеза верна
 74 Vexed ;122331;   2 : 0   ; LDLC 64 ;271289;Вторая команда;Гипотеза не верна
 62 SJ Gaming ;118102;   2 : 0   ; Copenhagen Flames 68 ;137144;Первая команда;Гипотеза не верна
 50 Chaos (Sweden) ;151323;   2 : 0   ; Unique 70 ;69610;Первая команда;Гипотеза не верна
