Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 43 AGO ;490917;   16 : 8   ; x-kom 46 ;391045;Вторая команда;Гипотеза не верна
 37 Movistar Riders ;223953;   16 : 9   ; ALTERNATE aTTaX 54 ;140486;Первая команда;Гипотеза верна
 65 Izako Boars ;186496;   16 : 4   ; HAVU 48 ;193106;Первая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;74605;   8 : 16   ; Vitality 4 ;303450;Первая команда;Гипотеза не верна
 41 VP ;662573;   0 : 2   ; BIG 24 ;1303064;Первая команда;Гипотеза верна
 55 pro100 ;306902;   14 : 16   ; VP 41 ;368649;Первая команда;Гипотеза верна
 33 NoChance ;281724;   2 : 1   ; Heroic 15 ;924371;Вторая команда;Гипотеза верна
 67 Ground Zero ;33261;   0 : 2   ; Chiefs 38 ;190316;Первая команда;Гипотеза верна
 13 FURIA ;215828;   16 : 1   ; Prospects null ;16254;Первая команда;Гипотеза верна
 null BLITZKRIEG ;4863;   17 : 19   ; Peeker's Advantage null ;5679;Вторая команда;Гипотеза верна
 60 TeamOne ;39461;   16 : 8   ; New Identity 82 ;32899;Первая команда;Гипотеза верна
 92 The Quest ;51454;   10 : 16   ; Bad News Bears 78 ;38559;Первая команда;Гипотеза верна
 null Polar Ace ;13669;   13 : 16   ; Variance 123 ;9958;Первая команда;Гипотеза не верна
 78 Bad News Bears ;22397;   8 : 16   ; ex-Zone 114 ;7630;Вторая команда;Гипотеза не верна
 60 TeamOne ;15471;   16 : 10   ; Ascent 128 ;5449;Первая команда;Гипотеза не верна
 13 FURIA ;188578;   8 : 16   ; Party Astronauts 90 ;33763;Вторая команда;Гипотеза верна
 null Peeker's Advantage ;4168;   3 : 16   ; Singularity 47 ;9925;Вторая команда;Гипотеза верна
 114 ex-Zone ;41895;   16 : 7   ; mythic null ;23589;Вторая команда;Гипотеза не верна
 92 The Quest ;29985;   16 : 12   ; Thunder Logic 118 ;13890;Первая команда;Гипотеза не верна
 82 New Identity ;114853;   16 : 14   ; Polar Ace null ;22714;Первая команда;Гипотеза не верна
 127 W7M ;67213;   1 : 2   ; Team Reapers 136 ;26794;Первая команда;Гипотеза верна
 105 Inflames ;6007;   16 : 9   ; Red Canids 133 ;3455;Вторая команда;Гипотеза верна
 47 Singularity ;25016;   2 : 0   ; TeamOne 60 ;10798;Вторая команда;Гипотеза не верна
 31 Ancient ;189618;   0 : 2   ; North 9 ;607935;Вторая команда;Гипотеза верна
 20 OpTic ;177804;   1 : 2   ; mousesports 5 ;693264;Вторая команда;Гипотеза верна
 null cats ;41059;   2 : 0   ; Ambush null ;19494;Первая команда;Гипотеза верна
 84 paiN ;4415;   16 : 9   ; Team Reapers 136 ;6734;Вторая команда;Гипотеза верна
 127 W7M ;4094;   11 : 16   ; Isurus 73 ;6418;Первая команда;Гипотеза не верна
 86 EOX ;8606; перенесён                                     ; INTZ.Academy 141 ;11574;Первая команда;Гипотеза верна
 65 Izako Boars ;172916;   16 : 11   ; expert 63 ;85304;Вторая команда;Гипотеза не верна
 41 VP ;250118;   16 : 6   ; Movistar Riders 37 ;209535;Первая команда;Гипотеза верна
 41 VP ;168570; перенесён                                     ; x-kom 46 ;147351;Первая команда;Гипотеза верна
 24 BIG ;211498;   0 : 2   ; Fnatic 7 ;608013;Первая команда;Гипотеза не верна
 43 AGO ;45027;   9 : 16   ; Epsilon 49 ;35128;Первая команда;Гипотеза верна
 65 Izako Boars ;28116;   14 : 16   ; Vitality 4 ;294964;Первая команда;Гипотеза верна
 15 Heroic ;438304;   1 : 2   ; CR4ZY 11 ;499130;Вторая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;160100;   16 : 8   ; expert 63 ;111573;Первая команда;Гипотеза верна
 null STEPxHYDR ;8857;   1 : 2   ; BlueJays null ;11949;Первая команда;Гипотеза верна
 43 AGO ;41260;   16 : 12   ; Movistar Riders 37 ;82056;Первая команда;Гипотеза верна
 49 Epsilon ;82376;   16 : 10   ; x-kom 46 ;49937;Первая команда;Гипотеза верна
 56 FrenchFrogs ;77077;   16 : 13   ; expert 63 ;30158;Первая команда;Гипотеза не верна
 52 DreamEaters ;80853;   2 : 0   ; Izako Boars 65 ;50590;Вторая команда;Гипотеза не верна
 30 GamerLegion ;552196;   0 : 2   ; VP 41 ;295551;Первая команда;Гипотеза не верна
 27 Windigo ;344947;   1 : 2   ; NoChance 33 ;155785;Вторая команда;Гипотеза верна
 22 forZe ;442528;   3 : 0   ; Winstrike 40 ;142918;Вторая команда;Гипотеза верна
 41 VP ;276770;   16 : 11   ; pro100 55 ;165192;Вторая команда;Гипотеза не верна
 67 Ground Zero ;29473;   2 : 0   ; ex-Athletico 89 ;19016;Первая команда;Гипотеза не верна
 21 Sprout ;249666;   2 : 0   ; Maknitude null ;49698;Первая команда;Гипотеза не верна
 32 Tricked ;789593;   2 : 1   ; Nordavind 57 ;417528;Первая команда;Гипотеза верна
 35 Order ;306843;   2 : 1   ; Genuine 87 ;25574;Вторая команда;Гипотеза верна
 82 New Identity ;424334;   16 : 11   ; ex-Zone 114 ;110463;Вторая команда;Гипотеза не верна
 null Polar Ace ;34240;   16 : 14   ; TeamOne 60 ;139472;Вторая команда;Гипотеза верна
 null BLITZKRIEG ;68836;   7 : 16   ; New Identity 82 ;270491;Вторая команда;Гипотеза верна
 90 Party Astronauts ;53838;   10 : 16   ; Variance 123 ;20692;Первая команда;Гипотеза верна
 92 The Quest ;199718;   16 : 14   ; TeamOne 60 ;273798;Вторая команда;Гипотеза верна
 47 Singularity ;54021;   16 : 4   ; Prospects null ;5062;Первая команда;Гипотеза не верна
 60 TeamOne ;254903;   10 : 16   ; Singularity 47 ;406630;Первая команда;Гипотеза верна
 90 Party Astronauts ;143699;   16 : 8   ; Polar Ace null ;39816;Вторая команда;Гипотеза не верна
 78 Bad News Bears ;243466;   2 : 0   ; Dogs of War null ;47875;Первая команда;Гипотеза верна
 70 Unique ;185383;   2 : 0   ; NOTBAD null ;51583;Первая команда;Гипотеза верна
 9 North ;446491;   2 : 0   ; NoChance 33 ;82955;Первая команда;Гипотеза не верна
 27 Windigo ;762559;   0 : 2   ; Ancient 31 ;550536;Первая команда;Гипотеза верна
 43 AGO ;310767;   16 : 4   ; Izako Boars 65 ;214978;Первая команда;Гипотеза верна
 5 mousesports ;1032246;   2 : 0   ; VP 41 ;133951;Вторая команда;Гипотеза верна
 20 OpTic ;281541;   2 : 0   ; GamerLegion 30 ;184721;Первая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;50829;   12 : 16   ; Chaos (Sweden) 50 ;81878;Первая команда;Гипотеза верна
 40 Winstrike ;460272;   1 : 2   ; Warthox 103 ;70026;Вторая команда;Гипотеза верна
 null 5balls ;17340;   2 : 0   ; The Final Tribe null ;33125;Первая команда;Гипотеза верна
 43 AGO ;176115;   7 : 16   ; Izako Boars 65 ;111468;Первая команда;Гипотеза верна
 null KOVA ;7696;   2 : 0   ; Bpro null ;6249;Первая команда;Гипотеза не верна
 65 Izako Boars ;67342;   16 : 13   ; VP 41 ;154026;Вторая команда;Гипотеза не верна
 7 Fnatic ;645979;   2 : 0   ; Maknitude null ;53667;Первая команда;Гипотеза не верна
 24 BIG ;771257;   2 : 1   ; Sprout 21 ;575814;Вторая команда;Гипотеза верна
 77 Gambit Youngsters ;759602;   2 : 1   ; Se7en 125 ;444454;Вторая команда;Гипотеза верна
 11 CR4ZY ;143849;   2 : 0   ; Nordavind 57 ;25488;Вторая команда;Гипотеза не верна
 15 Heroic ;564476;   2 : 0   ; Tricked 32 ;142167;Первая команда;Гипотеза не верна
 51 Vega ;540761;   0 : 2   ; DreamEaters 52 ;255920;Первая команда;Гипотеза не верна
 60 TeamOne ;280330;   6 : 16   ; Party Astronauts 90 ;186030;Первая команда;Гипотеза верна
 60 TeamOne ;152776;   16 : 11   ; mythic null ;42826;Вторая команда;Гипотеза верна
 90 Party Astronauts ;65156;   16 : 8   ; ex-Zone 114 ;42320;Вторая команда;Гипотеза не верна
 null Polar Ace ;41417;   11 : 16   ; BLITZKRIEG null ;46924;Вторая команда;Гипотеза верна
 71 ATK ;601956;   16 : 13   ; Bad News Bears 78 ;357775;Вторая команда;Гипотеза верна
 46 x-kom ;2220; отменен                                     ; Ancient 31 ;2544;Первая команда;Гипотеза верна
 null Dark Tigers ;14643;   2 : 0   ; Gravity null ;4817;Вторая команда;Гипотеза верна
 70 Unique ;178986;   0 : 2   ; forZe 22 ;526581;Первая команда;Гипотеза не верна
 59 Syman ;154877;   2 : 1   ; Winstrike 40 ;408794;Первая команда;Гипотеза верна
 21 Sprout ;111641;   2 : 0   ; Nordavind 57 ;45725;Вторая команда;Гипотеза не верна
 null Universe ;8619;   2 : 0   ; Esuba null ;8717;Первая команда;Гипотеза верна
 77 Gambit Youngsters ;90137;   0 : 2   ; Nemiga 42 ;170998;Первая команда;Гипотеза верна
 25 Spirit ;225513;   2 : 0   ; Vega 51 ;115295;Первая команда;Гипотеза не верна
 41 VP ;80633;   0 : 2   ; Aristocracy 39 ;82111;Первая команда;Гипотеза верна
 13 FURIA ;2079978;   0 : 2   ; Vitality 4 ;2137156;Первая команда;Гипотеза верна
 null Turkey5 ;2208;   1 : 2   ; Nordavind 57 ;10823;Вторая команда;Гипотеза верна
 null Espada ;3508;   0 : 2   ; Sprout 21 ;35219;Первая команда;Гипотеза верна
 null Team ROTW ;36304;   7 : 16   ; Team UK null ;19645;Первая команда;Гипотеза верна
 null Ambush ;19660;   2 : 0   ; Youngsters 130 ;20215;Вторая команда;Гипотеза верна
 52 DreamEaters ;137225;   2 : 0   ; NONAME null ;31437;Первая команда;Гипотеза верна
 55 pro100 ;698683;   0 : 2   ; Se7en 125 ;86697;Первая команда;Гипотеза верна
 null Team UK ;28684;   7 : 16   ; Team ROTW null ;52168;Первая команда;Гипотеза не верна
 56 FrenchFrogs ;184182;   0 : 2   ; Nordavind 57 ;180635;Вторая команда;Гипотеза не верна
 21 Sprout ;286334;   2 : 0   ; MAJESTY null ;14300;Первая команда;Гипотеза не верна
 null The Final Tribe ;122660;   0 : 2   ; BlueJays null ;174993;Вторая команда;Гипотеза верна
 103 Warthox ;93696;   2 : 1   ; Dracarys 112 ;192169;Вторая команда;Гипотеза верна
 null Extremum ;166353;   0 : 2   ; NOTBAD null ;73833;Вторая команда;Гипотеза не верна
 129 Paradox ;90392;   14 : 16   ; rewound 111 ;238664;Первая команда;Гипотеза не верна
 89 ex-Athletico ;171223;   16 : 13   ; rewound 111 ;383106;Первая команда;Гипотеза не верна
 29 eUnited ;246939;   2 : 1   ; TeamOne 60 ;88633;Первая команда;Гипотеза верна
 71 ATK ;70756;   2 : 1   ; ex-Zone 114 ;18663;Вторая команда;Гипотеза верна
 61 Lazarus ;383794;   2 : 0   ; Luminosity 36 ;453359;Вторая команда;Гипотеза не верна
 32 Tricked ;51799;   2 : 1   ; eLquvet null ;11195;Вторая команда;Гипотеза верна
 22 forZe ;854453;   2 : 0   ; NONAME null ;49780;Вторая команда;Гипотеза верна
 92 The Quest ;4517;   0 : 2   ; New Identity 82 ;8390;Первая команда;Гипотеза верна
 52 DreamEaters ;329438;   0 : 2   ; Unique 70 ;259933;Вторая команда;Гипотеза верна
 39 Aristocracy ;82100;   2 : 0   ; PACT 72 ;24245;Первая команда;Гипотеза не верна
 null Maknitude ;21031;   1 : 2   ; BlueJays null ;6233;Первая команда;Гипотеза верна
 8 NRG ;1184460;   0 : 2   ; Vitality 4 ;1780117;Вторая команда;Гипотеза не верна
 40 Winstrike ;108608;   2 : 0   ; Se7en 125 ;12083;Первая команда;Гипотеза верна
 59 Syman ;39709;   2 : 1   ; pro100 55 ;76770;Первая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;38095;   3 : 2   ; Lyngby Vikings 83 ;16431;Первая команда;Гипотеза не верна
 null ViCi ;93015;   0 : 2   ; 5power 79 ;33831;Первая команда;Гипотеза верна
